OGLE-BLG-T2CEP-001  BLHer  17:05:20.35 -32:28:17.6                   BLG366.5.86766                  
OGLE-BLG-T2CEP-002  BLHer  17:06:15.00 -33:01:27.6                   BLG366.8.22036                  
OGLE-BLG-T2CEP-003  BLHer  17:08:40.14 -32:54:10.4                   BLG332.6.61794                  
OGLE-BLG-T2CEP-004  BLHer  17:13:10.84 -29:05:45.3                   BLG360.7.43390                  
OGLE-BLG-T2CEP-005  BLHer  17:13:57.04 -32:15:36.0                   BLG364.1.38522                  
OGLE-BLG-T2CEP-006  pWVir  17:14:25.43 -28:46:46.6  BLG616.14.60798  BLG360.4.41373                  NSV 21170
OGLE-BLG-T2CEP-007  BLHer  17:23:54.79 -29:02:37.8  BLG614.05.36336  BLG331.5.150614                 
OGLE-BLG-T2CEP-008  BLHer  17:24:20.93 -27:55:49.2                   BLG356.8.134613                 
OGLE-BLG-T2CEP-009  BLHer  17:24:22.29 -29:27:35.5  BLG615.29.82221  BLG331.7.28689                  
OGLE-BLG-T2CEP-010  BLHer  17:27:05.54 -25:36:01.6  BLG665.16.46187  BLG355.1.128586                 
OGLE-BLG-T2CEP-011   WVir  17:27:17.67 -25:38:23.7  BLG619.26.1883   BLG355.1.98281                  
OGLE-BLG-T2CEP-012  BLHer  17:27:24.14 -39:51:30.8                   BLG200.3.35130  BUL_SC47_254614 
OGLE-BLG-T2CEP-013  BLHer  17:27:58.75 -29:26:02.1  BLG613.15.42116  BLG330.6.87273                  
OGLE-BLG-T2CEP-014  BLHer  17:29:19.97 -29:27:55.4  BLG613.13.38795  BLG330.3.41707                  NSV 8838
OGLE-BLG-T2CEP-015  BLHer  17:34:28.10 -27:06:19.0  BLG611.23.4353   BLG333.6.46451                  
OGLE-BLG-T2CEP-016  BLHer  17:35:02.05 -27:14:50.8  BLG611.13.26654  BLG333.7.55533  BUL_SC43_159919 V2735 Oph
OGLE-BLG-T2CEP-017  BLHer  17:35:08.11 -27:31:26.0  BLG611.05.29535                  BUL_SC43_130103 V2736 Oph
OGLE-BLG-T2CEP-018  BLHer  17:35:13.78 -27:03:17.1  BLG611.21.164124 BLG333.6.120692 BUL_SC43_311829 V2738 Oph
OGLE-BLG-T2CEP-019  RVTau  17:35:26.94 -27:34:53.5  BLG611.04.108343                 BUL_SC43_242845 
OGLE-BLG-T2CEP-020  BLHer  17:35:29.13 -26:55:53.3  BLG611.21.132345 BLG333.5.113102 BUL_SC43_326907 V2739 Oph
OGLE-BLG-T2CEP-021  BLHer  17:35:54.94 -22:34:26.9  BLG621.03.48088  BLG336.7.70921                  
OGLE-BLG-T2CEP-022  BLHer  17:36:09.78 -26:54:59.3  BLG611.20.130629 BLG333.4.97615                  
OGLE-BLG-T2CEP-023   WVir  17:36:34.02 -27:18:08.6  BLG611.11.22197  BLG333.2.31353                  
OGLE-BLG-T2CEP-024  RVTau  17:36:47.43 -27:13:06.8  BLG611.10.118713 BLG333.2.126643                 
OGLE-BLG-T2CEP-025   WVir  17:37:43.22 -22:22:09.4  BLG621.08.31255  BLG336.3.114175                 
OGLE-BLG-T2CEP-026  BLHer  17:38:07.53 -21:17:32.0                   BLG352.8.63914                  
OGLE-BLG-T2CEP-027   WVir  17:39:53.36 -20:59:34.7  BLG624.30.25578  BLG352.3.83929                  
OGLE-BLG-T2CEP-028   WVir  17:40:50.75 -25:03:53.4  BLG714.20.95490  BLG334.7.95192                  
OGLE-BLG-T2CEP-029  BLHer  17:41:22.18 -22:40:33.3  BLG625.19.123778 BLG338.8.133156                 
OGLE-BLG-T2CEP-030  BLHer  17:42:38.02 -23:35:57.8  BLG626.26.14596  BLG344.6.96995                  
OGLE-BLG-T2CEP-031   WVir  17:42:51.34 -21:30:11.6                                                   V0554 Oph
OGLE-BLG-T2CEP-032   WVir  17:43:08.19 -23:26:58.0  BLG632.25.2      BLG344.5.114696                 
OGLE-BLG-T2CEP-033   WVir  17:43:11.27 -24:14:24.5  BLG626.08.43465  BLG346.3.38827                  
OGLE-BLG-T2CEP-034  RVTau  17:43:42.84 -34:07:05.2  BLG603.24.3221   BLG129.6.129970                 
OGLE-BLG-T2CEP-035  BLHer  17:43:43.62 -23:56:30.3  BLG632.07.54260  BLG344.1.54779                  
OGLE-BLG-T2CEP-036  BLHer  17:44:02.25 -23:58:25.3  BLG632.06.139654 BLG344.1.18386                  
OGLE-BLG-T2CEP-037  BLHer  17:44:09.10 -33:52:31.0  BLG603.23.110099 BLG138.8.49375                  
OGLE-BLG-T2CEP-038   WVir  17:44:11.80 -33:23:30.7  BLG660.06.130385 BLG138.5.48619                  
OGLE-BLG-T2CEP-039  BLHer  17:44:12.88 -34:09:43.0  BLG603.14.122575 BLG129.3.61924                  
OGLE-BLG-T2CEP-040  BLHer  17:44:13.86 -34:17:32.9  BLG603.14.105616 BLG129.2.63646                  
OGLE-BLG-T2CEP-041  BLHer  17:44:25.97 -24:16:10.5  BLG633.31.18796  BLG347.6.42346                  
OGLE-BLG-T2CEP-043   WVir  17:44:54.51 -19:23:44.8  BLG629.30.11     BLG349.6.72131                  
OGLE-BLG-T2CEP-044   WVir  17:45:25.45 -24:04:56.1  BLG633.29.133921 BLG347.4.30482                  
OGLE-BLG-T2CEP-045   WVir  17:45:27.76 -24:13:18.5  BLG633.29.90299  BLG347.3.77264                  
OGLE-BLG-T2CEP-046   WVir  17:45:42.48 -23:51:00.8  BLG632.04.67819  BLG345.8.175849                 
OGLE-BLG-T2CEP-047  BLHer  17:45:45.81 -24:20:29.6  BLG633.29.83     BLG347.2.129250                 
OGLE-BLG-T2CEP-048  BLHer  17:46:00.14 -37:08:04.6  BLG605.03.77485  BLG106.6.20576                  
OGLE-BLG-T2CEP-049  RVTau  17:46:36.65 -33:59:11.7                   BLG130.4.44483                  V0735 Sco
OGLE-BLG-T2CEP-050  BLHer  17:46:55.05 -23:12:17.6  BLG632.19.122078 BLG342.2.12013  BUL_SC14_222897 
OGLE-BLG-T2CEP-051  BLHer  17:46:56.82 -23:10:04.8  BLG632.19.128452 BLG342.2.59289  BUL_SC14_233342 V5594 Sgr
OGLE-BLG-T2CEP-052  BLHer  17:47:01.86 -22:51:34.5  BLG632.27.81939  BLG342.4.59767  BUL_SC14_285762 V5595 Sgr
OGLE-BLG-T2CEP-053   WVir  17:47:05.65 -34:37:46.0  BLG603.02.99226  BLG121.4.20454  BUL_SC26_351594 
OGLE-BLG-T2CEP-054  BLHer  17:47:16.18 -23:16:30.8  BLG632.19.19474  BLG342.1.110509 BUL_SC14_366395 V5596 Sgr
OGLE-BLG-T2CEP-055   WVir  17:47:35.35 -33:42:24.9  BLG603.27.9760   BLG139.7.52207                  
OGLE-BLG-T2CEP-056  RVTau  17:47:37.40 -35:30:49.1  BLG604.09.124538 BLG116.2.28137                  
