OGLE-SMC-ECL-0064   19.873 19.870    1.3205561  7000.8803  1.558 0.177
OGLE-SMC-ECL-0065   17.844 18.036    2.0366319  7000.1202  0.121 0.074
OGLE-SMC-ECL-0066   17.750 17.754    3.4222547  7002.7901  0.483 0.168
OGLE-SMC-ECL-0067   19.251 19.702    8.4384326  7005.0316  0.824 0.226
OGLE-SMC-ECL-0068   20.023 20.341    6.4235932  7002.6831  1.110 0.216
OGLE-SMC-ECL-0069   18.004 18.003    0.9063650  7000.2677  0.158 0.118
OGLE-SMC-ECL-0070   19.038 19.064    1.0446915  7000.5988  0.433 0.358
OGLE-SMC-ECL-0071   17.338 17.267    2.4038068  7001.4069  1.401 0.405
OGLE-SMC-ECL-0072   16.414 17.049    0.4207996  7000.2340  0.265 0.240
OGLE-SMC-ECL-0073   19.210 19.206    2.9858171  7001.3110  0.826 0.713
OGLE-SMC-ECL-0074   18.834 18.737    0.5829730  7000.3346  1.245 0.616
OGLE-SMC-ECL-0075   18.050 17.978    1.0949457  7000.2562  0.291 0.163
OGLE-SMC-ECL-0076   19.207 19.160    7.7588500  7005.4389  0.575 0.144
OGLE-SMC-ECL-0077   18.061 17.971    2.7640426  7000.2086  0.114 0.049
OGLE-SMC-ECL-0078   19.036 19.691   21.6770258  7015.7015  0.112 0.104
OGLE-SMC-ECL-0079   19.527 19.803    4.0116800  7001.3410  0.754 0.414
OGLE-SMC-ECL-0080   18.973 18.974    5.5937393  7002.6936  0.177 0.174
OGLE-SMC-ECL-0081   19.214 19.139    1.3645859  7000.7192  0.428 0.384
OGLE-SMC-ECL-0082   16.362 17.379   53.4968768  7028.8561  0.453 0.253
OGLE-SMC-ECL-0083   18.680 18.564   38.0207030  7024.4742  0.184 0.082
OGLE-SMC-ECL-0084   18.872 18.783    1.7512216  7000.6507  0.565 0.508
OGLE-SMC-ECL-0085   19.198 19.153    1.1003649  7000.0847  0.383 0.224
OGLE-SMC-ECL-0086   18.204 18.116    9.7311658  7002.0649  0.334 0.264
OGLE-SMC-ECL-0087   19.006 19.956   10.7111026  7009.7384  0.314 0.253
OGLE-SMC-ECL-0088   18.704 18.568    2.5752387  7001.4673  0.378 0.191
OGLE-SMC-ECL-0089   18.499 18.473    0.8104521  7000.7688  0.521 0.516
OGLE-SMC-ECL-0090   18.704 19.439   11.8496554  7000.5328  0.349 0.212
OGLE-SMC-ECL-0091   16.761 16.641    1.7513356  7001.6277  0.889 0.406
OGLE-SMC-ECL-0092   16.675 16.894    0.6746293  7000.0051  0.075 0.046
OGLE-SMC-ECL-0093   18.628 18.560    1.7349061  7000.4615  0.366 0.295
OGLE-SMC-ECL-0094   18.072 18.014    2.0716589  7001.0357  0.687 0.218
OGLE-SMC-ECL-0095   18.484 18.371    0.4765803  7000.1557  0.308 0.280
OGLE-SMC-ECL-0096   18.611 18.582    1.3879895  7000.7069  0.350 0.203
OGLE-SMC-ECL-0097   16.003 15.820    1.7043759  7000.1287  0.362 0.267
OGLE-SMC-ECL-0098   18.129 18.006    1.0094871  7000.7292  0.327 0.269
OGLE-SMC-ECL-0099   19.002 19.389   14.1548086  7002.9609  1.105 0.667
OGLE-SMC-ECL-0100   17.508 17.366    1.4046843  7000.8067  0.368 0.313
OGLE-SMC-ECL-0101   18.322 18.311    5.8494556  7001.4468  0.258 0.084
OGLE-SMC-ECL-0102   18.576 18.586    2.0010373  7001.4784  0.173 0.097
OGLE-SMC-ECL-0103   19.266 19.382    3.6168275  7000.3172  0.763 0.580
OGLE-SMC-ECL-0104   19.329 19.631    8.5964004  7004.2435  1.419 0.294
OGLE-SMC-ECL-0105   19.263 19.214    1.6081864  7000.8033  0.224 0.174
OGLE-SMC-ECL-0106   18.172 18.056   23.8646739  7012.3331  0.344 0.090
OGLE-SMC-ECL-0107   18.696 18.631    1.9361024  7000.8280  0.271 0.073
OGLE-SMC-ECL-0108   18.731 18.639    2.9744710  7001.8848  0.556 0.153
OGLE-SMC-ECL-0109   17.193 17.064    3.3840259  7002.7156  0.144 0.138
OGLE-SMC-ECL-0110   15.304 16.133    0.8871981  7000.3617  0.316 0.095
OGLE-SMC-ECL-0111   16.200 16.942    2.1383372  7000.8378  0.119 0.033
OGLE-SMC-ECL-0112   19.297 19.377    1.3994289  7000.4415  0.494 0.306
OGLE-SMC-ECL-0113   18.378 18.319    3.1791142  7000.4997  0.347 0.302
OGLE-SMC-ECL-0114   19.693 19.946    6.2938540  7002.9167  0.387 0.375
OGLE-SMC-ECL-0115   19.524 19.901    8.0010453  7005.9146  0.768 0.281
OGLE-SMC-ECL-0116   18.730 19.592   12.4514828  7002.3187  0.342 0.196
OGLE-SMC-ECL-0117   19.158 19.100    5.8061314  7005.5243  0.493 0.329
OGLE-SMC-ECL-0118   18.284 18.167    1.8944208  7000.6724  0.180 0.023
OGLE-SMC-ECL-0119   19.869 20.112    4.6185197  7003.6883  1.072 0.244
OGLE-SMC-ECL-0120   18.419 18.369    3.9801291  7002.3123  0.246 0.193
OGLE-SMC-ECL-0121   19.726 20.537   14.4217277  7009.4277  0.527 0.385
OGLE-SMC-ECL-0122   16.645 16.538    0.7362114  7000.1171  0.400 0.270
OGLE-SMC-ECL-0123   19.912 19.863    0.6977820  7000.1372  1.140 0.932
OGLE-SMC-ECL-0124   15.029 15.825    0.3270221  7000.3176  0.543 0.540
OGLE-SMC-ECL-0125   17.690 18.324   51.1397516  7008.5123  0.327 0.032
OGLE-SMC-ECL-0126   15.847 15.894    0.6967197  7000.0175  0.070 0.049
OGLE-SMC-ECL-0127   19.921 19.989    1.5615048  7000.4066  0.692 0.577
OGLE-SMC-ECL-0128   18.778 18.735    0.4427672  7000.1542  0.261 0.223
OGLE-SMC-ECL-0129   16.610 16.480    0.6444125  7000.6387  0.077 0.066
OGLE-SMC-ECL-0130   16.358 17.387   33.7012839  7010.4316  0.232 0.139
OGLE-SMC-ECL-0131   18.036 17.978   20.7955677  7013.0383  0.349 0.210
OGLE-SMC-ECL-0132   18.888 19.507   16.5072071  7008.7688  0.738 0.332
OGLE-SMC-ECL-0133   18.689 18.601    6.8571548  7005.7471  0.357 0.169
OGLE-SMC-ECL-0134   17.420 17.286    1.6188763  7000.4288  0.569 0.189
OGLE-SMC-ECL-0135   18.545 18.492    1.1440181  7000.8155  0.257 0.227
OGLE-SMC-ECL-0136   19.569 19.750    4.4169695  7000.1756  0.518 0.422
OGLE-SMC-ECL-0137   17.567 17.530    2.2249056  7000.5480  0.557 0.231
OGLE-SMC-ECL-0138   18.877 18.767    2.2592576  7000.6979  0.785 0.028
OGLE-SMC-ECL-0139   16.055 17.258    0.5207215  7000.4758  0.564 0.203
OGLE-SMC-ECL-0140   19.762 20.100    4.5023639  7001.0665  0.902 0.255
OGLE-SMC-ECL-0141   19.166 19.118    7.7921679  7002.1127  0.636 0.564
OGLE-SMC-ECL-0142   18.067 17.962    1.6545826  7001.4564  0.243 0.224
OGLE-SMC-ECL-0143   17.631 17.683   12.4489391  7008.8034  0.582 0.301
OGLE-SMC-ECL-0144   19.227 19.252    1.6097400  7001.3299  0.323 0.183
OGLE-SMC-ECL-0145   19.000 19.027    1.4007955  7000.8116  0.705 0.167
OGLE-SMC-ECL-0146   17.784 17.693    1.6224698  7001.2430  0.226 0.174
OGLE-SMC-ECL-0147   19.736 20.285    8.2754801  7000.2843  0.721 0.398
OGLE-SMC-ECL-0148   17.187 19.528    2.4533702  7001.8216  0.036 0.021
OGLE-SMC-ECL-0149   19.445 19.807    6.8759282  7003.6160  0.875 0.291
OGLE-SMC-ECL-0150   18.549 19.333    7.0705777  7000.2897  0.262 0.180
OGLE-SMC-ECL-0151   19.574 20.080    2.8372110  7001.5314  0.621 0.264
OGLE-SMC-ECL-0152   18.341 18.333    1.5159966  7000.1082  0.513 0.201
OGLE-SMC-ECL-0153   18.231 18.150    0.8302435  7000.7450  0.448 0.257
OGLE-SMC-ECL-0154   19.375 19.291    1.9873637  7000.1315  0.648 0.272
OGLE-SMC-ECL-0155   16.761 16.605    1.2457237  7000.9441  0.245 0.135
OGLE-SMC-ECL-0156   18.702 18.640    2.1076753  7000.2338  0.232 0.170
OGLE-SMC-ECL-0157   17.323 -        64.1434761  7034.1122  0.304 0.261
OGLE-SMC-ECL-0158   18.541 18.469    1.3277560  7001.1024  0.601 0.587
OGLE-SMC-ECL-0159   19.448 19.963    9.1670355  7006.8412  1.012 0.544
