OGLE-SMC-ECL-0001   NC   00:21:04.87 -74:07:32.2  SMC708.02.3611   SMC138.8.159    -                   
OGLE-SMC-ECL-0002   NC   00:21:20.30 -74:01:13.7  SMC708.10.904    SMC138.7.981    -                   
OGLE-SMC-ECL-0003   NC   00:21:22.13 -74:25:22.5  SMC714.15.2177   SMC139.6.153    -                   
OGLE-SMC-ECL-0004   NC   00:21:22.25 -74:17:52.6  SMC708.02.896    SMC139.5.724    -                   
OGLE-SMC-ECL-0005   NC   00:21:23.84 -74:04:50.6  SMC708.02.4036   SMC138.8.392    -                   
OGLE-SMC-ECL-0006   NC   00:21:27.49 -74:02:29.7  SMC708.10.843    SMC138.7.1005   -                   
OGLE-SMC-ECL-0007   NC   00:21:36.70 -73:46:45.1  SMC708.10.3718   SMC138.6.105    -                   
OGLE-SMC-ECL-0008   NC   00:21:43.56 -74:29:30.6  SMC714.15.2142   SMC139.6.86     -                   
OGLE-SMC-ECL-0009   NC   00:21:45.38 -74:00:57.5  SMC708.10.920    SMC138.7.1077   -                   
OGLE-SMC-ECL-0010   NC   00:22:01.64 -74:32:32.7  SMC714.15.41     SMC139.7.90     -                   
OGLE-SMC-ECL-0011   NC   00:22:18.29 -73:25:39.7  SMC708.27.371    SMC135.7.332    -                   
OGLE-SMC-ECL-0012   NC   00:22:27.98 -72:07:46.5  SMC707.29.7058   SMC140.7.37261  -                   
OGLE-SMC-ECL-0013   NC   00:22:30.11 -74:23:35.5  SMC714.15.2517   SMC139.6.2285   -                   
OGLE-SMC-ECL-0014   NC   00:22:30.49 -74:00:26.2  SMC708.10.498    SMC138.7.715    -                   
OGLE-SMC-ECL-0015   NC   00:22:38.91 -73:16:58.8  SMC708.27.11     SMC135.6.17     -                   
OGLE-SMC-ECL-0016   NC   00:22:42.14 -73:44:06.8  SMC708.19.1781   SMC138.5.1403   -                   
OGLE-SMC-ECL-0017   NC   00:22:51.25 -73:46:16.6  SMC708.10.4323   SMC138.6.795    -                   
OGLE-SMC-ECL-0018   NC   00:22:53.13 -73:24:47.1  SMC708.26.756    SMC135.7.883    -                   
