OGLE-BLG-ELL-000001  18.277 20.943    0.1827387  7000.0811  0.284 0.211
OGLE-BLG-ELL-000002  16.726 18.787    0.2110520  7000.1808  0.182 0.149
OGLE-BLG-ELL-000003  16.348 18.661    0.2063413  7000.0113  0.086 0.082
OGLE-BLG-ELL-000004  18.285 20.134    0.2047575  7000.1040  0.220 0.190
OGLE-BLG-ELL-000005  17.844 19.607    0.0853380  7000.0820  0.174 0.147
OGLE-BLG-ELL-000006  18.893    -      0.2170162  7000.0893  0.247 0.154
OGLE-BLG-ELL-000007  14.702 16.536    0.2114737  7000.0213  0.118 0.105
OGLE-BLG-ELL-000008  18.934 21.164    0.2130577  7000.0441  0.230 0.211
OGLE-BLG-ELL-000009  16.922    -      0.2129184  7000.0066  0.163 0.104
OGLE-BLG-ELL-000010  18.077 20.614    0.2169996  7000.0786  0.247 0.182
OGLE-BLG-ELL-000011  16.858 19.386    0.2069067  7000.1244  0.182 0.154
OGLE-BLG-ELL-000012  18.415 20.727    0.1991382  7000.1637  0.229 0.193
OGLE-BLG-ELL-000013  18.455 20.558    0.2054419  7000.1524  0.178 0.137
OGLE-BLG-ELL-000014  17.766 19.165    0.1982419  7000.1744  0.232 0.183
OGLE-BLG-ELL-000015  17.749 19.954    0.2199648  7000.1602  0.213 0.150
OGLE-BLG-ELL-000016  17.289 19.522    0.1553243  7000.0790  0.167 0.157
OGLE-BLG-ELL-000017  15.287 17.129    0.2198002  7000.1175  0.200 0.198
OGLE-BLG-ELL-000018  15.619 17.261   34.5776325  7021.2846  0.153 0.141
OGLE-BLG-ELL-000019  13.192 15.229   90.6385760  7029.6675  0.058 0.048
OGLE-BLG-ELL-000020  15.844 17.885   12.5724013  7000.4203  0.180 0.157
OGLE-BLG-ELL-000021  16.430 17.567    0.4787619  7000.3433  0.144 0.082
OGLE-BLG-ELL-000022  16.345 17.599    1.2455778  7000.7425  0.098 0.092
OGLE-BLG-ELL-000023  13.450 14.523    1.2672381  7001.0181  0.112 0.084
OGLE-BLG-ELL-000024  13.468 15.604   71.9284743  7018.1436  0.078 0.055
OGLE-BLG-ELL-000025  15.537 17.445   11.6030589  7006.5290  0.176 0.089
OGLE-BLG-ELL-000026  13.727 16.544  301.8754009  7160.9655  0.131 0.104
OGLE-BLG-ELL-000027  15.939 16.956    1.0215589  7000.5605  0.193 0.191
OGLE-BLG-ELL-000028  13.094 15.454  112.9814564  7003.6966  0.145 0.085
OGLE-BLG-ELL-000029  15.448 17.455   16.5861162  7003.5496  0.144 0.114
OGLE-BLG-ELL-000030  16.822 18.577    0.6311844  7000.4748  0.098 0.074
OGLE-BLG-ELL-000031  15.340 17.332   15.4664256  7013.1995  0.158 0.129
OGLE-BLG-ELL-000032  15.093 16.064    0.7029759  7000.6491  0.067 0.060
OGLE-BLG-ELL-000033  13.821 16.260   79.6230961  7014.6279  0.062 0.053
OGLE-BLG-ELL-000034  13.558    -      8.9898081  7001.1077  0.119 0.110
OGLE-BLG-ELL-000035  14.844 15.998    0.4760657  7000.0723  0.097 0.081
OGLE-BLG-ELL-000036  14.695 15.986    0.4570081  7000.1691  0.147 0.133
OGLE-BLG-ELL-000037  15.973 18.351   24.9990000  7024.6064  0.237 0.185
OGLE-BLG-ELL-000038  13.866 16.541  128.4279012  7024.3102  0.093 0.085
