OGLE-LMC-CEP-0691  17.068 17.572   0.5283428 0.0000014  6000.25742  0.108  0.079 2.465  0.000   -    0.4259550 0.0000103  6000.11327  0.009  0.000   -    0.000   -    0.3578421 0.0000027  6000.29648  0.027  0.000   -    0.000   -  
OGLE-LMC-CEP-1847  16.874 17.366   0.5795056 0.0000008  6000.35382  0.247  0.097 3.635  0.057 0.724  0.4666566 0.0000042  6000.40499  0.028  0.000   -    0.000   -    0.3921303 0.0000022  6000.24334  0.037  0.000   -    0.000   -  
OGLE-LMC-CEP-2147  16.979 17.498   0.5412814 0.0000008  6000.51663  0.265  0.102 2.985  0.129 0.432  0.4360338 0.0000036  6000.14384  0.044  0.089   -    0.000   -    0.3662933 0.0000012  6000.03097  0.070  0.061   -    0.000   -  
OGLE-LMC-CEP-3025  16.959 17.517   0.5687003 0.0000008  6000.28128  0.271  0.094 3.724  0.064 0.536  0.4582428 0.0000053  6000.12392  0.027  0.000   -    0.000   -    0.3849952 0.0000030  6000.12918  0.030  0.000   -    0.000   -  
OGLE-LMC-CEP-3369  18.430 18.864   0.2318730 0.0000008  6000.13236  0.080  0.000   -    0.113   -    0.1866128 0.0000007  6000.13509  0.070  0.210   -    0.000   -    0.1561395 0.0000005  6000.10018  0.081  0.191 4.823  0.026   -  
OGLE-LMC-CEP-3374  18.622 19.165   0.2222560 0.0000004  6000.10955  0.203  0.220 5.211  0.000   -    0.1788862 0.0000008  6000.09126  0.072  0.200   -    0.000   -    0.1497371 0.0000006  6000.10670  0.066  0.134   -    0.209   -  
OGLE-LMC-CEP-3878  18.284 18.748   0.2443469 0.0000005  6000.00894  0.238  0.182 4.880  0.075   -    0.1967768 0.0000009  6000.06612  0.041  0.000   -    0.000   -    0.1647337 0.0000006  6000.12792  0.080  0.000   -    0.229 4.179
