OGLE-BLG-RRLYR-00237  NGC6304   V23
OGLE-BLG-RRLYR-00246  NGC6304   V22
OGLE-BLG-RRLYR-00247  NGC6304   V1
OGLE-BLG-RRLYR-00251  NGC6304   Va46
OGLE-BLG-RRLYR-00253  NGC6304   V3
OGLE-BLG-RRLYR-03748  NGC6441
OGLE-BLG-RRLYR-03813  NGC6441   V46
OGLE-BLG-RRLYR-03816  NGC6441   V68
OGLE-BLG-RRLYR-03852  NGC6441   V70
OGLE-BLG-RRLYR-03870  NGC6441   V93
OGLE-BLG-RRLYR-03886  NGC6441   V45
OGLE-BLG-RRLYR-03904  NGC6441   V59
OGLE-BLG-RRLYR-03912  NGC6441   V64
OGLE-BLG-RRLYR-03913  NGC6441   V124
OGLE-BLG-RRLYR-03916  NGC6441   V52
OGLE-BLG-RRLYR-03918  NGC6441   V57
OGLE-BLG-RRLYR-03920  NGC6441   V40
OGLE-BLG-RRLYR-03921  NGC6441   V106
OGLE-BLG-RRLYR-03923  NGC6441   V112
OGLE-BLG-RRLYR-03933  NGC6441   V63
OGLE-BLG-RRLYR-03934  NGC6441   V66
OGLE-BLG-RRLYR-03940  NGC6441   V94
OGLE-BLG-RRLYR-03945  NGC6441   V53
OGLE-BLG-RRLYR-03946  NGC6441   V55
OGLE-BLG-RRLYR-03956  NGC6441   V42
OGLE-BLG-RRLYR-03957  NGC6441   V65
OGLE-BLG-RRLYR-03960  NGC6441   V116
OGLE-BLG-RRLYR-03961  NGC6441   V62
OGLE-BLG-RRLYR-03962  NGC6441   V115
OGLE-BLG-RRLYR-03964  NGC6441   V60
OGLE-BLG-RRLYR-03967  NGC6441   V38
OGLE-BLG-RRLYR-03969  NGC6441
OGLE-BLG-RRLYR-03971  NGC6441   V79
OGLE-BLG-RRLYR-03973  NGC6441   V44
OGLE-BLG-RRLYR-03980  NGC6441   V61
OGLE-BLG-RRLYR-03982  NGC6441   V72
OGLE-BLG-RRLYR-03991  NGC6441   V37
OGLE-BLG-RRLYR-03994  NGC6441   V41
OGLE-BLG-RRLYR-03996  NGC6441   V71
OGLE-BLG-RRLYR-04003  NGC6441   V43
OGLE-BLG-RRLYR-04015  NGC6441   V74
OGLE-BLG-RRLYR-04055  NGC6441   V76
OGLE-BLG-RRLYR-04057  NGC6441   V39
OGLE-BLG-RRLYR-04080  NGC6441   V51
OGLE-BLG-RRLYR-04118  NGC6441   V69
OGLE-BLG-RRLYR-04137  NGC6441   V77
OGLE-BLG-RRLYR-04192  NGC6441   V49
OGLE-BLG-RRLYR-04284  NGC6453
OGLE-BLG-RRLYR-04326  NGC6453
OGLE-BLG-RRLYR-04337  NGC6453   V2
OGLE-BLG-RRLYR-04341  NGC6453
OGLE-BLG-RRLYR-04365  NGC6453   V1
OGLE-BLG-RRLYR-04458  NGC6453
OGLE-BLG-RRLYR-11044  Djorg 2
OGLE-BLG-RRLYR-11049  Djorg 2
OGLE-BLG-RRLYR-11060  Djorg 2
OGLE-BLG-RRLYR-11075  Djorg 2
OGLE-BLG-RRLYR-11137  Djorg 2
OGLE-BLG-RRLYR-11141  Djorg 2
OGLE-BLG-RRLYR-11142  Djorg 2
OGLE-BLG-RRLYR-11190  Djorg 2
OGLE-BLG-RRLYR-11215  Djorg 2
OGLE-BLG-RRLYR-11218  Djorg 2
OGLE-BLG-RRLYR-11223  Djorg 2
OGLE-BLG-RRLYR-11225  Djorg 2
OGLE-BLG-RRLYR-11249  Djorg 2
OGLE-BLG-RRLYR-11252  Djorg 2
OGLE-BLG-RRLYR-11257  Djorg 2
OGLE-BLG-RRLYR-11372  Djorg 2
OGLE-BLG-RRLYR-11376  Djorg 2
OGLE-BLG-RRLYR-11972  NGC6522
OGLE-BLG-RRLYR-11993  NGC6522
OGLE-BLG-RRLYR-12032  NGC6522
OGLE-BLG-RRLYR-12044  NGC6522
OGLE-BLG-RRLYR-12072  NGC6522
OGLE-BLG-RRLYR-12073  NGC6522   V1
OGLE-BLG-RRLYR-12099  NGC6522   V9
OGLE-BLG-RRLYR-12108  NGC6522
OGLE-BLG-RRLYR-12114  NGC6522   V11
OGLE-BLG-RRLYR-12115  NGC6522   V10
OGLE-BLG-RRLYR-12117  NGC6522   V2
OGLE-BLG-RRLYR-12127  NGC6522   V3
OGLE-BLG-RRLYR-12132  NGC6522
OGLE-BLG-RRLYR-12154  NGC6522   V5
OGLE-BLG-RRLYR-12185  NGC6522
OGLE-BLG-RRLYR-13297  NGC6540
OGLE-BLG-RRLYR-13300  NGC6540
OGLE-BLG-RRLYR-13306  NGC6540
OGLE-BLG-RRLYR-13867  NGC6544   V2
OGLE-BLG-RRLYR-14866  NGC6558   V4
OGLE-BLG-RRLYR-14873  NGC6558
OGLE-BLG-RRLYR-14886  NGC6558   V1
OGLE-BLG-RRLYR-14888  NGC6558   V6
OGLE-BLG-RRLYR-14892  NGC6558   V17
OGLE-BLG-RRLYR-14912  NGC6558   V16
OGLE-BLG-RRLYR-14929  NGC6558   V3
OGLE-BLG-RRLYR-17494  NGC6355
OGLE-BLG-RRLYR-17497  NGC6355
OGLE-BLG-RRLYR-17501  NGC6355
OGLE-BLG-RRLYR-17508  NGC6355
OGLE-BLG-RRLYR-17516  NGC6355
OGLE-BLG-RRLYR-22095  Terzan 1
OGLE-BLG-RRLYR-22102  Terzan 1
OGLE-BLG-RRLYR-22104  Terzan 1
OGLE-BLG-RRLYR-22107  Terzan 1
OGLE-BLG-RRLYR-22108  Terzan 1
OGLE-BLG-RRLYR-22112  Terzan 1
OGLE-BLG-RRLYR-22135  Terzan 1
OGLE-BLG-RRLYR-22139  Terzan 1
OGLE-BLG-RRLYR-22170  Terzan 1
OGLE-BLG-RRLYR-23926  NGC6401
OGLE-BLG-RRLYR-23985  NGC6401
OGLE-BLG-RRLYR-24002  NGC6401
OGLE-BLG-RRLYR-24004  NGC6401   V2
OGLE-BLG-RRLYR-24006  NGC6401   V5
OGLE-BLG-RRLYR-24011  NGC6401
OGLE-BLG-RRLYR-24021  NGC6401
OGLE-BLG-RRLYR-24024  NGC6401
OGLE-BLG-RRLYR-24025  NGC6401   V22
OGLE-BLG-RRLYR-24030  NGC6401   V12     two RRc stars along one line of sight P1 = 0.291090 d, P2 = 0.257530 d
OGLE-BLG-RRLYR-24036  NGC6401   V13
OGLE-BLG-RRLYR-24037  NGC6401
OGLE-BLG-RRLYR-24039  NGC6401
