OGLE-LMC-ECL-00001  18.681 19.613    7.3467222  7003.4405  0.291 0.255
OGLE-LMC-ECL-00002  18.080 19.147   38.8547713  7038.7183  0.545 0.444
OGLE-LMC-ECL-00003  19.493 19.764    3.7418008  7000.6085  1.578 0.379
OGLE-LMC-ECL-00004  15.942 17.349  237.8732932  7204.2662  0.049 0.027
OGLE-LMC-ECL-00005  18.108 19.037  100.4235236  7036.8810  0.325 0.265
OGLE-LMC-ECL-00006  19.483 19.623    3.0138192  7001.1522  0.870 0.534
OGLE-LMC-ECL-00007  19.749 20.454    1.7638678  7001.0803  0.641 0.459
OGLE-LMC-ECL-00009  18.566 18.985    7.8637852  7004.7850  0.184 0.117
OGLE-LMC-ECL-00010  18.593 19.102   15.4035495  7009.4265  0.659 0.148
OGLE-LMC-ECL-00011  19.456 19.578    2.8865922  7002.7932  0.483 0.451
OGLE-LMC-ECL-00012  19.828 20.132    4.7447954  7001.4687  0.677 0.275
OGLE-LMC-ECL-00013  18.827 19.318   12.3696305  7006.9932  0.814 0.242
OGLE-LMC-ECL-00014  19.135 19.301    2.2462649  7001.1904  0.710 0.105
OGLE-LMC-ECL-00015  17.056 18.025    1.3680623  7000.5686  0.217 0.199
OGLE-LMC-ECL-00016  19.753 20.485    2.1081819  7001.2850  0.913 0.150
OGLE-LMC-ECL-00017  18.735 19.807   13.6889402  7000.1561  0.871 0.441
OGLE-LMC-ECL-00018  19.461 20.261   16.0651896  7001.7529  0.400 0.283
OGLE-LMC-ECL-00019  19.090 19.348    5.0816776  7000.4624  1.657 0.169
OGLE-LMC-ECL-00020  18.691 19.177    9.5990703  7005.6810  0.243 0.049
OGLE-LMC-ECL-00021  19.528 19.750    4.5025311  7000.6136  0.732 0.539
OGLE-LMC-ECL-00022  18.769 18.989    4.2324395  7000.7553  0.371 0.159
OGLE-LMC-ECL-00023  19.471 19.815    1.4752396  7000.7979  0.653 0.172
OGLE-LMC-ECL-00024  19.708 20.025    2.5567389  7001.4755  0.833 0.203
OGLE-LMC-ECL-00025  19.131 19.713    5.2011870  7000.5191  0.450 0.412
OGLE-LMC-ECL-00026  17.861 18.854   15.7068471  7013.4709  0.175 0.106
OGLE-LMC-ECL-00027  19.410 19.642    4.8903216  7002.3411  1.236 0.298
OGLE-LMC-ECL-00028  19.228 19.806    3.4176330  7002.7900  0.409 0.291
OGLE-LMC-ECL-00029  19.162 -         2.8603387  7000.0220  1.026 0.623
OGLE-LMC-ECL-00030  18.772 18.814    3.7375241  7001.5244  0.333 0.315
OGLE-LMC-ECL-00031  19.621 19.709    1.1269865  7000.4573  0.490 0.146
OGLE-LMC-ECL-00032  18.348 19.418   53.7043313  7016.5926  0.260 0.062
OGLE-LMC-ECL-00033  19.055 19.201    3.4982707  7002.1310  0.888 0.046
OGLE-LMC-ECL-00034  17.283 17.906   19.9215009  7016.7435  0.233 0.154
OGLE-LMC-ECL-00035  19.652 20.246    2.5862278  7002.0800  0.587 0.248
OGLE-LMC-ECL-00036  19.568 19.943    3.2899167  7000.1586  0.802 0.166
OGLE-LMC-ECL-00037  18.172 18.958  172.1180009  7064.1061  0.085 0.030
OGLE-LMC-ECL-00038  15.229 16.671  618.0614009  7281.5509  0.222 0.112
OGLE-LMC-ECL-00039  19.356 19.880    1.7976844  7001.0691  0.365 0.269
OGLE-LMC-ECL-00040  19.208 19.448    7.2142209  7001.9439  0.642 0.526
OGLE-LMC-ECL-00041  15.225 -         0.3657256  7000.1365  0.443 0.388
OGLE-LMC-ECL-00042  19.662 19.903    2.2579103  7000.6969  1.785 0.263
OGLE-LMC-ECL-00043  19.096 19.644    1.8208362  7000.3149  0.805 0.619
OGLE-LMC-ECL-00044  19.177 19.381    5.6295830  7003.7902  0.504 0.304
OGLE-LMC-ECL-00045  16.432 18.104   18.7432012  7012.4676  0.114 0.050
OGLE-LMC-ECL-00046  18.135 19.195   83.7984547  7081.6687  0.178 0.111
OGLE-LMC-ECL-00047  19.391 20.198    3.2653095  7000.6928  0.479 0.310
OGLE-LMC-ECL-00048  19.127 19.805    5.4586769  7003.2318  0.558 0.070
OGLE-LMC-ECL-00049  19.730 20.023    3.7581247  7003.2994  1.740 0.322
OGLE-LMC-ECL-00050  19.261 19.428    9.9981601  7007.3744  0.356 0.143
